instruction,gold,source,category,response
"한국채택국제회계기준(K-IFRS)하에서 금융자산으로 분류되지 않는 것은?
1. 대여금
2. 재고자산
3. 매출채권
4. 만기보유금융자산

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",2,KMMLU-Train,Accounting,"필요한 정보  
한국채택국제회계기준(K-IFRS)에 따르면 금융자산이란 현금, 타인에 대한 계약상 권리(금전수취권, 지분상품 등) 등을 말합니다. 구체적으로는 현금, 타인에 대한 현금 수취권리(예: 매출채권, 대여금), 타인 지분상품 등에 대한 권리, 계약상 금융자산과 금융부채의 교환을 할 수 있는 계약권리 등이 포함됩니다.

각 항목의 분류  
1. 대여금: 일반적으로 기업이 외부에 돈을 빌려주고 이를 회수할 권리를 가지므로 금융자산에 해당합니다.
2. 재고자산: 판매를 목적으로 보유하는 상품·제품·원재료 등으로, 이는 금전 수취권과는 관계없는 실물자산이므로 금융자산에 해당하지 않습니다.
3. 매출채권: 상품·용역을 제공한 대가로 미래에 현금을 받을 권리이므로 금융자산에 해당합니다.
4. 만기보유금융자산: 현금흐름이 일정한 채권 등으로, 만기까지 보유할 목적으로 취득한 금융상품 역시 금융자산에 속합니다.

정답  
재고자산만이 금융자산이 아닙니다.

정답: \boxed{2}"
"(주)상공의 11월 말 현재 장부상에 계상된 현금과부족계정 차변 잔액은 ￦50,000이었다. 또한 12월 한 달 동안 실제로 증가된 현금은 ￦570,000이며, 장부상 증가된 현금은 ￦600,000이다. 위의 모든 원인은 밝혀지지 않았다. (주)상공의 결산일에 잡손실로 처리해야 할 금액은 얼마인가?
1. ￦20,000
2. ￦30,000
3. ￦50,000
4. ￦80,000

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",4,KMMLU-Train,Accounting,"필요 정보 정리  
- 11월 말 현금과부족(차변)잔액: ￦50,000  
- 12월 실제 증가 현금: ￦570,000  
- 12월 장부상 증가 현금: ￦600,000  
- 모든 차이의 원인은 밝혀지지 않음  
- 결산일에 잡손실로 처리할 금액 구하기  

적용 방법 해설  
1. **현금과부족**은 실제 현금과 장부상 현금의 차이를 임시로 기록하는 계정입니다.  
   - 차변잔액은 실제현금이 장부보다는 많은 경우입니다.  
2. 12월 한 달간의 현금 증가에 대해 실제와 장부 사이에 차이가 있습니다.  
   - 장부상 증가액 > 실제 증가액 → 실제현금이 부족하게 된 것(₩600,000 - ₩570,000 = ₩30,000 부족)  
   - 실무적으로, 이 차이는 원인이 밝혀지지 않은 경우 결산시 '잡손실'로 처리합니다.

3. 11월 말 현금과부족 차변잔액(₩50,000)은 원인이 밝혀지지 않았다면 연말에 '잡손실'로 대체합니다.

4. 결산시 잡손실로 대체해야 할 금액  
   - 11월 말 현금과부족 잔액: ₩50,000  
   - 12월 실제와 장부 현금 증감 차이: (장부상 ₩600,000 증가 – 실제 ₩570,000 증가 = 장부상 초과, ₩30,000)  
   - 이 두 금액을 합산 (차기에도 계상 원인 불명인 상태이므로 전부 잡손실로 처리)  

최종 정리  
- 11월 말 현금과부족(차변) : ₩50,000  
- 12월 현금과부족(차변) : ₩30,000  
- 합계 : ₩80,000 잡손실 처리

정답
\boxed{4}"
"투자부동산 계정으로 회계 처리하는 예로 옳지 않은 것은?
1. 관리 목적에 사용하기 위한 자가사용부동산
2. 장기간 보유하면서 시세차익을 얻기 위한 토지
3. 미래의 사용목적이 결정되지 않은 상태에서 보유하는 토지
4. 미래에 투자부동산으로 사용할 목적으로 건설 중이거나 또는 개발 중인 부동산

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",1,KMMLU-Train,Accounting,"문제 분석  
투자부동산 계정으로 회계 처리하는 예로 ""옳지 않은 것""을 물었습니다.  
투자부동산(Investment Property)은 임대수익이나 시세차익을 얻기 위해 보유하는 부동산(토지, 건물 등)이며, 자기업무에 직접 사용하는 자가사용부동산(Owner-occupied property)은 투자부동산에 해당되지 않습니다.

선지별 검토 
1. 관리 목적에 사용하기 위한 자가사용부동산  
→ ""자가사용부동산""은 회사의 주된 영업 혹은 관리 업무에 사용되는 부동산으로 K-IFRS(한국채택국제회계기준)에서는 투자부동산이 아니라 유형자산 계정으로 처리합니다.  
→ 투자부동산이 아니므로 회계 처리가 옳지 않습니다.

2. 장기간 보유하면서 시세차익을 얻기 위한 토지  
→ 시세차익을 얻기 위한 목적으로 장기보유하는 토지는 대표적인 투자부동산입니다.

3. 미래의 사용목적이 결정되지 않은 상태에서 보유하는 토지  
→ 미래의 사용목적이 정해지지 않았다면 임대수익이나 시세차익의 목적이 없으므로, 투자부동산 계정처리 할 수 있습니다(혹은 일반적으로 투자부동산으로 분류합니다).

4. 미래에 투자부동산으로 사용할 목적으로 건설 중이거나 또는 개발 중인 부동산  
→ 미래에 투자부동산으로 사용할 목적이 명확하므로 투자부동산으로 회계처리 할 수 있습니다.

정답 
따라서 옳지 않은 예, 즉 투자부동산 계정으로 회계 처리하지 않는 것은  
\boxed{1}"
"상거래 회사인 ㈜상공이 차량운반구를 외상으로 구입한 거래의 분개 시 대변에 나타날 계정과목은?
1. 미수금
2. 선급금
3. 미지급금
4. 외상매입금

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",3,KMMLU-Train,Accounting,"필요한 정보와 개념  
- 차량운반구는 회사의 비품이나 유형자산으로 취급되므로 ""상품""이 아니다.
- 외상으로 구입했으므로 대금은 아직 지급하지 않았고, 빚이 생긴다.
- ""외상매입금""은 상품을 외상으로 구입했을 때 사용하는 계정과목이다.
- ""미지급금""은 비품, 차량운반구, 기계장치 등 비상품의 외상 구입 시 사용하는 채무 계정이다.

적용 설명  
- (주)상공이 차량운반구(상품이 아님)를 외상으로 구입한 경우,
  - 차량운반구(자산)가 증가하므로 차변에 차량운반구 계정,
  - 대금은 아직 지급하지 않았으므로 대변에는 외상채무인 ""미지급금""을 쓴다.

선택지 분석  
1. 미수금: 상품이나 제품을 외상으로 팔았을 때 채권 계정. (오답)
2. 선급금: 아직 상품이나 용역을 받지 않고, 대금을 미리 지급한 경우. (오답)
3. 미지급금: 상품 이외의 자산(차량운반구 등)을 외상 구입 시 사용. (정답)
4. 외상매입금: 상품을 외상으로 샀을 때 채무 계정. (오답)

정답  
\boxed{3}"
"재무제표에 관한 설명 중 옳지 않은 것은?
1. 재무제표는 경영진의 수탁책임이나 기업의 재무성과를 보여 준다.
2. 동일한 금액이라도 총자산이나 매출액의 규모에 따라 중요성의 정도가 달라질 수 있다.
3. 발생주의를 적용할 경우 재무제표에 표시되는 수익은 현금으로 회수한 금액만을 기록하여야 한다.
4. 재무제표는 정보이용자의 의사결정에 유용한 기업의 재무 상태, 재무성과와 재무상태변동에 관한 정보를 제공한다.

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",3,KMMLU-Train,Accounting,"문제를 하나씩 검토해보겠습니다.

1. 재무제표는 경영진의 수탁책임이나 기업의 재무성과를 보여 준다.
   - 맞는 설명입니다. 재무제표는 경영진의 수탁 책임 수행 결과와 기업의 재무성과(손익 등)를 정보이용자에게 제공합니다.

2. 동일한 금액이라도 총자산이나 매출액의 규모에 따라 중요성의 정도가 달라질 수 있다.
   - 맞는 설명입니다. 금액의 크기가 절대적이지 않고 전체 규모(매출액, 자산 규모 등)에 따라 중요성이 달라질 수 있습니다.

3. 발생주의를 적용할 경우 재무제표에 표시되는 수익은 현금으로 회수한 금액만을 기록하여야 한다.
   - 옳지 않은 설명입니다. 발생주의(accrual basis)는 현금의 수수와 관계없이 수익과 비용을 인식하는 원칙입니다. 즉, 수익은 현금 회수 여부와 상관없이 실제로 발생한 시점에 인식합니다.

4. 재무제표는 정보이용자의 의사결정에 유용한 기업의 재무 상태, 재무성과와 재무상태변동에 관한 정보를 제공한다.
   - 맞는 설명입니다. 재무제표의 목적은 정보이용자에게 유용한 정보를 제공하는 것입니다.

따라서 정답은 3번입니다.

\boxed{3}"
"회계의 기초개념에 대한 설명이다. 옳은 것은?
1. 회계기간의 시작 시점을 당기라 한다.
2. 기업의 재무상태와 재무성과를 알리기 위해 인위적으로 구분한 기간을 회계기간이라 한다.
3. 회계연도란 기업의 재산 및 자본의 증감 변화를 기록, 계산, 정리하기 위한 장소적 범위를 말한다.
4. 대차평균의 원리란 회계 상의 거래를 원인과 결과에 따라 차변과 대변에 같은 금액으로 기록하는 것을 말한다.

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",2,KMMLU-Train,Accounting,"각 보기를 하나씩 검토해보겠습니다.

1. 회계기간의 시작 시점을 당기라 한다.
- 당기(當期)란 일반적으로 '이번 기간', 즉 '현재 보고하고 있는 회계기간 자체'를 의미하지 그 시작점을 뜻하지 않습니다. 옳지 않은 설명입니다.

2. 기업의 재무상태와 재무성과를 알리기 위해 인위적으로 구분한 기간을 회계기간이라 한다.
- 맞는 설명입니다. 회계기간은 기업의 경영성과와 재무상태를 보고하기 위해 임의로 구분한 기간(일반적으로 1년)을 의미합니다.

3. 회계연도란 기업의 재산 및 자본의 증감 변화를 기록, 계산, 정리하기 위한 장소적 범위를 말한다.
- 회계연도는 '장소적 범위'가 아니라 '시간적 범위', 즉 일정 기간(1년 등)을 의미합니다. 잘못된 설명입니다.

4. 대차평균의 원리란 회계 상의 거래를 원인과 결과에 따라 차변과 대변에 같은 금액으로 기록하는 것을 말한다.
- 대차평균의 원리는 차변과 대변에 같은 금액을 기록한다는 것이 맞지만, '원인과 결과'의 개념에 대한 설명은 부적절합니다. 정확하게는, 거래를 양면적으로 인식해 차변과 대변에 동일 금액으로 기록하는 원리입니다. 일부 내용이 부정확합니다.

따라서 정답은 2번입니다.

\boxed{2}"
"물리적 형체가 없지만 식별가능하고, 기업이 통제하고 있으며, 미래 경제적 효익이 있는 비화폐성 자산으로 옳지 않은 것은?
1. 임차보증금
2. 프랜차이즈
3. 개발비
4. 영업권

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",1,KMMLU-Train,Accounting,"필요한 정보 및 개념  
비화폐성 자산이란 화폐성 자산(현금, 예금 등)이 아닌 기타 자산을 말합니다. 이 중 ‘무형자산’이란 물리적 형체가 없지만 기업이 통제하며, 미래 경제적 효익(즉, 수익 창출 능력 등)이 있는 비화폐성 자산을 의미합니다.  
무형자산의 예시에는 산업재산권, 영업권, 개발비, 프랜차이즈 등이 있습니다.

지문 확인 및 선택지 검토  
1. 임차보증금: 기업이 임대를 위해 지불하는 보증금으로, 현금 등으로 환급받을 수 있으므로 화폐성 자산에 가깝고, 무형자산으로 분류하지 않습니다.
2. 프랜차이즈: 무형자산에 해당 (특허권, 영업권과 비슷).
3. 개발비: 미래 효익과 연결되면 무형자산으로 인식.
4. 영업권: 무형자산의 대표적인 예.

정답 선정 설명  
선택지 1번 임차보증금은 현금 또는 현금성 자산으로 환급이 가능하며, 실제로는 비화폐성·무형자산이 아니라 기타의 자산(비유동자산-기타비유동자산 등)에 속합니다.

따라서 비화폐성 무형자산으로 옳지 않은 것은 1번입니다.

정답  
\boxed{1}"
"포괄손익계산서상의 기타포괄손익에 해당하는 것은?
1. 재평가잉여금
2. 사채상환이익
3. 자기주식처분이익
4. 이익준비금

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",1,KMMLU-Train,Accounting,"필요한 정보  
포괄손익계산서(Statement of Comprehensive Income)는 기업의 일정 기간 동안의 순이익과, 순이익에는 포함되지 않지만 자본에 직접 반영되는 기타포괄손익(Other Comprehensive Income, OCI)을 모두 포함하여 보고합니다. 기타포괄손익에는 다음과 같은 항목들이 포함될 수 있습니다.

기타포괄손익의 예시  
- 재평가잉여금(재평가모형을 적용하는 경우 발생하는 자산의 재평가차익)
- 외화환산손익
- 확정급여제도의 재측정요소
- 매도가능금융자산평가손익(기준 변경에 따라 FVOCI 금융자산 평가손익 등)

선택지별 검토  
1. 재평가잉여금  
자산을 재평가모형으로 측정할 때 발생하는 재평가이익은 기타포괄손익에 해당합니다.

2. 사채상환이익  
사채상환이익은 영업외수익으로, 당기손익에 포함됩니다(기타포괄손익 아님).

3. 자기주식처분이익  
자본거래로 인한 이익으로, 손익계산서나 기타포괄손익에 포함되지 않고 직접 자본에 반영합니다.

4. 이익준비금  
법적인 잉여금으로, 영업활동과 직접적으로 관련 없는 자본잉여금의 일종입니다. 포괄손익계산서 항목이 아닙니다.

정답  
기타포괄손익에 해당하는 것은 ""재평가잉여금"" 입니다.

정답: \boxed{1}"
"재화의 생산, 용역의 제공, 타인에 대한 임대 또는 자체적으로 사용할 목적으로 보유하는 물리적 형체가 있는 자산으로서, 1년을 초과하여 사용할 것이 예상되는 자산은?
1. 건설중인 자산
2. 상품
3. 투자부동산
4. 산업재산권

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",1,KMMLU-Train,Accounting,"문제 해설:
문제에서 묻고 있는 자산의 특징은 다음과 같습니다.

- 재화의 생산, 용역의 제공, 타인에 대한 임대 또는 자체 사용 목적으로 보유함
- 물리적 형체(즉, 유형자산)임
- 1년을 초과하여 사용하는 비유동자산임

각 선택지 분석:
1. 건설중인 자산: 아직 완성되지 않은 유형자산으로, 완공 후 유형자산으로 전환될 예정인 자산입니다. 물리적 형체를 가지며, 1년을 초과하여 사용할 예정임.
2. 상품: 판매 목적으로 보유한 자산으로써, 유통 목적이며 물리적 형체는 있지만 보유 기간이 길지 않습니다(통상 유동자산).
3. 투자부동산: 임대수익이나 시세차익을 목적으로 보유하는 토지, 건물 등의 부동산으로, 장기간 보유하는 물리적 형체가 있는 자산임.
4. 산업재산권: 영업비밀, 특허권 등 무형자산입니다. 물리적 형체가 없습니다.

정답 도출:
- 1번과 3번 모두 물리적 형체가 있으며, 1년 초과 사용 및 임대 등에서 맞는 설명입니다.
- 그러나, ""재화의 생산, 용역의 제공, 타인에 대한 임대 또는 자체 사용""이라는 조건까지 보면, 일반적으로 이 네 가지 기준을 모두 충족하는 유형자산은 '건설중인 자산'보다는 '투자부동산'이 부합합니다.
- 하지만, 회계기준에서 ""유형자산""의 정의에 더 충실한 것은 실제 '유형자산' 자체 (예를 들어, 기계장치, 건물 등)거나 그 과정 중인 '건설중인 자산'입니다.
- 투자부동산은 임대 목적만 해당되므로 1번 '건설중인 자산'이 가장 적합합니다.

최종 정답:
\boxed{1}"
"원가, 품질, 서비스, 속도와 같은 주요 성과측정치의 극적인 개선을 위해 업무프로세스를 급진적으로 재설계하는 것으로 정의할 수 있는 것은 무엇인가?
1. BSC (Balanced Scorecard)
2. BPR (business process reengineering)
3. CALS (Commerce At Light Speed)
4. EIS (Executive Information System)

주어진 문제를 풀고 \boxed{N} 형태로 정답을 반환하세요.",2,KMMLU-Train,Accounting,"필요 정보 회상:  
문제에서 요구하는 것은 '원가, 품질, 서비스, 속도와 같은 주요 성과측정치의 극적인 개선을 위해 업무프로세스를 급진적으로 재설계'하는 것의 정의입니다.

용어 설명:  
1. BSC (Balanced Scorecard): 조직의 성과를 여러 관점(재무, 고객, 내부 프로세스, 학습과 성장)에서 균형 있게 측정하기 위한 성과 관리 도구입니다.  
2. BPR (Business Process Reengineering): 기업의 핵심적인 업무 프로세스를 근본적으로 재설계하여 획기적인 성과(원가 절감, 품질 향상, 서비스 개선 등)를 추구하는 접근법입니다.  
3. CALS (Commerce At Light Speed): 정보기술을 활용해 제품 개발 및 공급망 전반을 통합하는 전자 상거래 개념입니다.  
4. EIS (Executive Information System): 최고경영자 등 경영진의 의사결정을 지원하는 정보 시스템입니다.

적용 및 해설:  
문제의 키워드는 ""급진적으로 재설계"", ""극적인 개선"", ""업무프로세스""입니다.  
이는 업무 프로세스 혁신을 뜻하며, 위 설명에서 BPR(Business Process Reengineering)이 이에 해당합니다.

정답:  
\boxed{2}"
